Serial Number,Title,Page Link,PDF Link,Download Status
115,Halloween 5The Revenge of Michael Myers,https://www.scriptslug.com/script/halloween-5-the-revenge-of-michael-myers-1989,https://assets.scriptslug.com/live/pdf/scripts/halloween-5-1989.pdf?v=1729114920,True
116,Halloween,https://www.scriptslug.com/script/halloween-2018,https://assets.scriptslug.com/live/pdf/scripts/halloween-2018_2024-01-09-005255_xwtn.pdf?v=1729114920,True
117,Scream VI,https://www.scriptslug.com/script/scream-vi-2023,https://assets.scriptslug.com/live/pdf/scripts/scream-vi-2023.pdf?v=1729114985,True
118,The Nutty Professor,https://www.scriptslug.com/script/the-nutty-professor-1995,https://assets.scriptslug.com/live/pdf/scripts/the-nutty-professor-1995.pdf?v=1729115033,True
119,Charlie and the Chocolate Factory,https://www.scriptslug.com/script/charlie-and-the-chocolate-factory-2005,https://assets.scriptslug.com/live/pdf/scripts/charlie-and-the-choclate-factory-2005.pdf?v=1729114884,True
120,Vengeance,https://www.scriptslug.com/script/vengeance-2022,https://assets.scriptslug.com/live/pdf/scripts/vengeance-2022.pdf?v=1729115057,True
121,The Witches,https://www.scriptslug.com/script/the-witches-1990,https://assets.scriptslug.com/live/pdf/scripts/the-witches-1990.pdf?v=1729115044,True
122,The Island of Dr. Moreau,https://www.scriptslug.com/script/the-island-of-dr-moreau-1996,https://assets.scriptslug.com/live/pdf/scripts/the-island-of-dr-moreau-1996.pdf?v=1729115024,True
123,Get Carter,https://www.scriptslug.com/script/get-carter-1971,https://assets.scriptslug.com/live/pdf/scripts/get-carter-1971.pdf?v=1729114915,True
124,Dirty Harry,https://www.scriptslug.com/script/dirty-harry-1971,https://assets.scriptslug.com/live/pdf/scripts/dirty-harry-1971.pdf?v=1729114896,True
125,Jason Goes to HellThe Final Friday,https://www.scriptslug.com/script/jason-goes-to-hell-the-final-friday-1993,https://assets.scriptslug.com/live/pdf/scripts/jason-goes-to-hell-the-final-friday1993.pdf?v=1729114933,True
126,Darker Than Amber,https://www.scriptslug.com/script/darker-than-amber-1970,https://assets.scriptslug.com/live/pdf/scripts/darker-than-amber-1970.pdf?v=1729114893,True
127,The Entity,https://www.scriptslug.com/script/the-entity-1982,https://assets.scriptslug.com/live/pdf/scripts/the-entity-1983.pdf?v=1729115014,True
128,Audrey Rose,https://www.scriptslug.com/script/audrey-rose-1977,https://assets.scriptslug.com/live/pdf/scripts/audrey-rose-1977.pdf?v=1729114864,True
129,A Knock at the Cabin,https://www.scriptslug.com/script/a-knock-at-the-cabin-2023,https://assets.scriptslug.com/live/pdf/scripts/a-knock-at-the-cabin-2023.pdf?v=1729114852,True
130,Halloween Kills,https://www.scriptslug.com/script/halloween-kills-2021,https://assets.scriptslug.com/live/pdf/scripts/halloween-kills-2021.pdf?v=1729114920,True
131,Gunpowder Milkshake,https://www.scriptslug.com/script/gunpowder-milkshake-2021,https://assets.scriptslug.com/live/pdf/scripts/gunpowder-milkshake-2021.pdf?v=1729114919,True
132,"Good Morning, Vietnam",https://www.scriptslug.com/script/good-morning-vietnam-1987,https://assets.scriptslug.com/live/pdf/scripts/good-morning-vietnam-1987.pdf?v=1729114917,True
133,Only the Brave,https://www.scriptslug.com/script/only-the-brave-2017,https://assets.scriptslug.com/live/pdf/scripts/only-the-brave-2017.pdf?v=1729114966,True
134,Big MouthNick Starr,https://www.scriptslug.com/script/big-mouth-406-nick-starr-2020,https://assets.scriptslug.com/live/pdf/scripts/big-mouth-406-nick-starr-2020.pdf?v=1729114871,True
135,MissionImpossible - Fallout,https://www.scriptslug.com/script/mission-impossible-fallout-2018,https://assets.scriptslug.com/live/pdf/scripts/mission-impossible-fallout-2018.pdf?v=1729114954,True
136,Prey,https://www.scriptslug.com/script/prey-2022,https://assets.scriptslug.com/live/pdf/scripts/prey-2022.pdf?v=1729114974,True
137,Amsterdam,https://www.scriptslug.com/script/amsterdam-2022,https://assets.scriptslug.com/live/pdf/scripts/amsterdam-2022.pdf?v=1729114859,True
138,The Incredible Burt Wonderstone,https://www.scriptslug.com/script/the-incredible-burt-wonderstone-2013,https://assets.scriptslug.com/live/pdf/scripts/the-incredible-burt-wonderstone-2013.pdf?v=1729115023,True
139,The Morning ShowIn the Dark Night of the Soul It's Always 330 in the Morning,https://www.scriptslug.com/script/the-morning-show-101-in-the-dark-night-of-the-soul-its-always-330-in-the-morning-2019,https://assets.scriptslug.com/live/pdf/scripts/the-morning-show-101-in-the-dark-night-of-the-soul-its-always-330-in-the-morning-2019.pdf?v=1729115031,True
140,The King of Comedy,https://www.scriptslug.com/script/the-king-of-comedy-1982,https://assets.scriptslug.com/live/pdf/scripts/the-king-of-comedy-1982.pdf?v=1729115025,True
141,WandaVisionAll-New Halloween Spooktacular!,https://www.scriptslug.com/script/wandavision-106-all-new-halloween-spooktacular-2021,https://assets.scriptslug.com/live/pdf/scripts/wandavision-all-new-halloween-spooktacular-2021.pdf?v=1729115058,True
142,Chaplin,https://www.scriptslug.com/script/chaplin-1992,https://assets.scriptslug.com/live/pdf/scripts/chaplin-1992.pdf?v=1729114884,True
143,Swingers,https://www.scriptslug.com/script/swingers-1996,https://assets.scriptslug.com/live/pdf/scripts/swingers-1996.pdf?v=1729115003,True
144,Leaving Las Vegas,https://www.scriptslug.com/script/leaving-las-vegas-1995,https://assets.scriptslug.com/live/pdf/scripts/leaving-las-vegas-1995.pdf?v=1729114940,True
145,Only Murders in the BuildingTrue Crime,https://www.scriptslug.com/script/only-murders-in-the-building-101-true-crime-2021,https://assets.scriptslug.com/live/pdf/scripts/only-murders-in-the-building-101-true-crime-2021.pdf?v=1729114965,True
146,Talladega NightsThe Ballad of Ricky Bobby,https://www.scriptslug.com/script/talladega-nights-the-ballad-of-ricky-bobby-2006,https://assets.scriptslug.com/live/pdf/scripts/talladega-nights-2006.pdf?v=1729115003,True
147,The Royal Tenenbaums,https://www.scriptslug.com/script/the-royal-tenenbaums-2001,https://assets.scriptslug.com/live/pdf/scripts/royal-tenenbaums-2000.pdf?v=1729114982,True
148,Oppenheimer,https://www.scriptslug.com/script/oppenheimer-2023,https://assets.scriptslug.com/live/pdf/scripts/oppenheimer-2023.pdf?v=1729114966,True
149,Poker FaceDead Man's Hand,https://www.scriptslug.com/script/poker-face-101-dead-mans-hand-2023,https://assets.scriptslug.com/live/pdf/scripts/poker-face-101-dead-mans-hand-2023.pdf?v=1729114972,True
150,EuphoriaOut of Touch,https://www.scriptslug.com/script/euphoria-202-out-of-touch-2022,https://assets.scriptslug.com/live/pdf/scripts/euphoria-202-out-of-touch-2022.pdf?v=1729114904,True
151,Surrogates,https://www.scriptslug.com/script/surrogates-2009,https://assets.scriptslug.com/live/pdf/scripts/surrogates-2009.pdf?v=1729115002,True
152,FuturamaThe Series Has Landed,https://www.scriptslug.com/script/futurama-102-the-series-has-landed-1999,https://assets.scriptslug.com/live/pdf/scripts/futurama-102-the-series-has-landed-1999.pdf?v=1729114913,True
153,DeadwoodReconnoitering the Rim,https://www.scriptslug.com/script/deadwood-103-reconnoitering-the-rim-2004,https://assets.scriptslug.com/live/pdf/scripts/deadwood-103-reconnoitering-the-rim-2004.pdf?v=1729114894,True
154,The Jewel of the Nile,https://www.scriptslug.com/script/the-jewel-of-the-nile-1985,https://assets.scriptslug.com/live/pdf/scripts/the-jewel-of-the-nile-1985.pdf?v=1729115024,True
155,Lean on Me,https://www.scriptslug.com/script/lean-on-me-1989,https://assets.scriptslug.com/live/pdf/scripts/lean-on-me-1989.pdf?v=1729114940,True
156,Wise Guys,https://www.scriptslug.com/script/wise-guys-1986,https://assets.scriptslug.com/live/pdf/scripts/wise-guys-1986.pdf?v=1729115062,True
157,Weird Science,https://www.scriptslug.com/script/weird-science-1985,https://assets.scriptslug.com/live/pdf/scripts/weird-science-1985.pdf?v=1729115059,True
158,Sixteen Candles,https://www.scriptslug.com/script/sixteen-candles-1984,https://assets.scriptslug.com/live/pdf/scripts/sixteen-candles-1984.pdf?v=1729114991,True
